time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,acc_cmd_x,acc_cmd_y,acc_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id,base,CoT,musculoskeletal,foot_force,MWE,WEXT,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
44.33,0.0,0,1,1,0,0,1,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.41185497640866,12.604733727934097,0.26777735742572606,0.06191031414339812,0.019120094956073252,0.16581130509278405,59.51375802976574,12.763112450901504,0.07081565491686184,59.506985847662534,12.505929856843055,0.019349331808407616,59.05198466711911,12.712651958905914,0.01983146657739948,59.19071906312894,12.439445759075968,0.05608177998264563,2.5594442547034126,-0.043355584391182644,0.22002483031526943,-0.6416716783596362,-1.1738969681462377,-0.11840094197341788,0.3405557452965877,0.043355584391182644,0.22002483031526943,0.6416716783596362,1.1738969681462377,0.11840094197341788,0.5023122716611883,0.0,3,0.2,0,4,0.4924316503368497,0.8478137029677537,0.10545193292484963,151.32344680726223,1.2370047817646643,74.1074297144088,0.0,0,0,0,0
44.34,0.0,0,1,1,0,0,1,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.43727571778284,12.608454232332669,0.26960421505406107,0.05362580016233753,0.006651166450422519,0.16364905680262892,59.56645180811741,12.774291134435723,0.0673742301793678,59.50865560020158,12.50614236694257,0.019147022369853106,59.05325093784814,12.712314241509384,0.019842430163907798,59.23611409027633,12.444868513972592,0.058561538742582686,2.5707555333181875,-0.028735729546821197,0.22969272167022006,-1.1238034359027216,-1.2659904013517984,-0.12446099404638486,0.32924446668181284,0.028735729546821197,0.22969272167022006,1.1238034359027216,1.2659904013517984,0.12446099404638486,0.48244119027501886,0.0,3,0.2,0,4,0.5127060517278793,1.1753400523551214,0.11767210046034442,170.87093215175682,2.0873374615713303,76.14390447900335,0.0,0,0,0,0
44.35,0.0,0,1,1,0,0,1,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.46279997647352,12.612332988579686,0.27223639624126833,0.041686640177990994,-0.0043703910045771455,0.161622090404007,59.625468558812116,12.786349768470716,0.06431761153079874,59.510871385441725,12.50647024583322,0.019700138165142517,59.05529120576408,12.712271771253803,0.019950277688971868,59.28536111199854,12.450969745343665,0.06202494499285391,2.5895329615549247,-0.007645719009119405,0.2918150185153232,-1.3436175986133492,-1.045019087385557,-0.19168615881646892,0.3104670384450756,0.007645719009119405,0.2918150185153232,1.3436175986133492,1.045019087385557,0.19168615881646892,0.509798916270664,0.0,3,0.2,0,4,0.48885879026978624,1.313966899761294,0.14109765085525197,197.00978405238084,2.486631300156869,78.95682107366164,0.0,0,0,0,0
44.36,0.0,0,1,1,0,0,1,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.488380766763854,12.61636493617628,0.2754930799855597,0.029303007066666036,-0.013013869380491316,0.15927787276123018,59.69355959267083,12.800836714774602,0.06348234384174978,59.51240520859915,12.506658956106266,0.01928508006223481,59.05752476893275,12.712249899913942,0.020043546933984635,59.33286609452,12.455732883538639,0.06474937025201732,2.5931778880074043,0.005374748119258659,0.3140092756347627,-0.9584876857023727,-0.47612553547837333,-0.24382328659565522,0.306822111992596,0.005374748119258659,0.3140092756347627,0.9584876857023727,0.47612553547837333,0.24382328659565522,0.5560201467075099,0.0,3,0.2,0,4,0.5188831771407965,1.472404328456355,0.1527329045581549,158.49485148250406,2.655801612131743,81.91218613148143,0.0,0,0,0,0
44.37,0.0,0,0,0,0,0,1,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.513742777555514,12.62047808479609,0.2791172810159894,0.02084454537655858,-0.012169091436060597,0.1560390934510653,59.76498258428692,12.815472015437722,0.06287328084531751,59.51506584855705,12.506989487471104,0.01985251960137205,59.072637517241716,12.710169503789606,0.020122494997233287,59.38282567699211,12.463837800536698,0.06358530575303754,2.550821094964177,0.031116752094940227,0.32758248801066725,-0.9668396909754235,0.4033218508143403,-0.36089765329518747,0.3491789050358234,0.031116752094940227,0.32758248801066725,0.9668396909754235,0.4033218508143403,0.36089765329518747,0.7411933104259512,10.0,3,0.2,0,4,0.6860472497125254,1.1718768663634593,0.1468781216963998,108.84921965878975,2.4074045816299936,84.27589337280874,10.0,0,0,0,0
44.38,0.0,0,0,0,0,0,0,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.539256755299824,12.624737294277693,0.2820204633344369,0.012876209065203405,-0.009759437025684825,0.15282852880121478,59.8095632999439,12.821651491259638,0.053478429552937606,59.53426297792823,12.508528921252017,0.02458947998334307,59.102406652875835,12.711930930179323,0.01842871677107341,59.417904609302674,12.474241452459736,0.049268449548250215,2.61819499051576,0.031103376138424153,0.19112660542031948,-0.9501400474640892,0.20848299954474925,-0.2993456490193894,0.28180500948424037,0.031103376138424153,0.19112660542031948,0.9501400474640892,0.20848299954474925,0.2993456490193894,0.612254034642054,35.0,3,0.2,0,4,0.655819731981218,0.890379876548004,0.1747294950448737,44.16507762967725,6.261267976881712,79.55873197358761,35.0,0,0,0,0
44.39,0.0,0,0,0,0,0,0,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.56516574321575,12.628998051575131,0.283709401207969,0.002622041128532021,-0.007255718703652381,0.15012066602418986,59.834349599930135,12.820656462376514,0.041257797283033165,59.563317064923595,12.511670917325874,0.032985636226445375,59.13062326067193,12.718532376731703,0.018435489542451416,59.451146582448395,12.487842130403676,0.033181116243771375,2.639916090779662,0.032212396468990934,0.0972294266568102,-0.7745310985221359,0.15395951356869195,-0.25318102836302725,0.2600839092203384,0.032212396468990934,0.0972294266568102,0.7745310985221359,0.15395951356869195,0.25318102836302725,0.5454773340523567,25.0,3,0.2,0,4,0.5706731591225589,0.35732395968337344,0.07376789908920976,23.975499947420584,0.5896582556979624,77.78330220800181,25.0,0,0,0,0
44.4,0.0,1,0,0,1,0,0,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.59136799882115,12.633262463451542,0.2843242344327373,-0.002145303743455903,-0.007411146119809642,0.1480887279769452,59.847789026893054,12.816826980437849,0.023954052398697218,59.590218106435834,12.5157205768351,0.041497522705326084,59.16016882930299,12.726550425867627,0.018458878192712497,59.479963190593196,12.50023033694252,0.02028274640003122,2.6672151511300703,0.0360993943567979,-0.020218645999037534,-0.13940795756227153,-0.2095548580209812,-0.1528301872531401,0.23278484886993,0.0360993943567979,0.020218645999037534,0.13940795756227153,0.2095548580209812,0.1528301872531401,0.421714430479868,35.0,3,0.2,0,4,0.46883660546691014,0.257202041160846,0.05284135387781269,17.57997315041876,0.28712565080049757,77.45915557015121,35.0,0,0,0,0
44.410000000000004,0.0,1,0,0,1,1,0,1,0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.6178743852688,12.637634216964416,0.28378017678230355,-0.0010539820104020405,-0.01050345249927287,0.14651840096833266,59.85476271293309,12.813506040515907,0.01815272615542597,59.61961070672392,12.519859504524506,0.039326149288512635,59.194246853454636,12.730456556472397,0.018630341134308226,59.50062906634045,12.51169456113019,0.01997691575633055,2.6798210318586877,0.04737066818996776,-0.13022981898414884,0.34549711391217186,-0.2763796991220405,-0.1677228966244774,0.22017896814131266,0.04737066818996776,0.13022981898414884,0.34549711391217186,0.2763796991220405,0.1677228966244774,0.43527253295575785,65.0,3,0.2,0,4,0.41693886644142586,0.4134031019568803,0.10885369842980763,63.88183923776929,0.6620170473760822,76.82000439023923,65.0,0.18000000000000002,0.0,0.0,0.0
44.42,0.0,1,0,0,1,1,0,1,1,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,59.64412856054506,12.641938060905074,0.2825882995487056,0.00564726818233899,-0.014513545948312112,0.14522800394609744,59.85622051775261,12.813725109662409,0.018651151373377278,59.66134078613355,12.52777617999487,0.03481689959140072,59.233390215604835,12.73665187784148,0.018971099452846002,59.50709953171425,12.515348426594128,0.019318305269003536,2.633385401768265,0.03789023154591459,-0.1730468662650686,0.8320391363047055,-0.5560296549588087,-0.05930788837041265,0.2666145982317354,0.03789023154591459,0.1730468662650686,0.8320391363047055,0.5560296549588087,0.05930788837041265,0.3638127181480626,30.0,3,0.2,0,4,0.4066804260717752,0.5077560790066975,0.1060387936782449,171.03263110271595,0.5309071306106787,76.0260810151539,30.0,0.0,0.0,0.0,0.15
